ID,Preço,Variação,Variação (%),Horário
EQPA3,R$ 6,16,-0,050 Hoje,0,81%,22/01/2026 - 11:55:31
EQTL3,R$ 39,86,+0,77 Hoje,1,97%,22/01/2026 - 11:55:40
ESPA3,R$ 0,85,+0,010 Hoje,1,19%,22/01/2026 - 11:55:51
ESTR3,R$ 3,01,1 dia,22 de jan., 09:45:37 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:56:00
ETER3,R$ 4,03,+0,040 Hoje,1,00%,22/01/2026 - 11:56:10
EUCA3,R$ 20,10,1 dia,22 de jan., 10:10:31 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:56:20
EVEN3,R$ 7,38,+0,13 Hoje,1,79%,22/01/2026 - 11:56:29
EZTC3,R$ 14,37,+0,26 Hoje,1,84%,22/01/2026 - 11:56:39
FESA3,R$ 11,80,1 dia,22 de jan., 10:27:42 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:56:49
FHER3,R$ 4,40,+0,030 Hoje,0,69%,22/01/2026 - 11:56:59
FICT3,R$ 1,63,+0,080 Hoje,5,16%,22/01/2026 - 11:57:08
FIEI3,R$ 14,79,1 dia,22 de jan., 10:56:23 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:57:18
FIQE3,R$ 5,14,+0,100 Hoje,1,98%,22/01/2026 - 11:57:27
FLRY3,R$ 16,32,+0,30 Hoje,1,87%,22/01/2026 - 11:57:37
FRAS3,R$ 24,52,+0,15 Hoje,0,62%,22/01/2026 - 11:57:47
FRIO3,R$ 174,56,1 dia,22 de jan., 11:24:18 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:57:57
GEPA3,R$ 33,00,1 dia,22 de jan., 11:31:11 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:58:08
GFSA3,R$ 4,15,+0,10 Hoje,2,47%,22/01/2026 - 11:58:17
GGBR3,R$ 19,71,+0,51 Hoje,2,66%,22/01/2026 - 11:58:27
GGPS3,R$ 17,44,+0,25 Hoje,1,45%,22/01/2026 - 11:58:37
GMAT3,R$ 4,88,+0,080 Hoje,1,67%,22/01/2026 - 11:58:47
GOAU3,R$ 9,88,+0,32 Hoje,3,35%,22/01/2026 - 11:58:56
GRND3,R$ 4,77,+0,12 Hoje,2,58%,22/01/2026 - 11:59:06
GSHP3,R$ 3,10,1 dia,22 de jan., 11:38:55 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:59:15
GUAR3,R$ 9,13,+0,67 Hoje,7,92%,22/01/2026 - 11:59:24
HAGA3,R$ 1,75,0,00 Hoje,0,00%,22/01/2026 - 11:59:34
HAPV3,R$ 14,29,+0,41 Hoje,2,95%,22/01/2026 - 11:59:43
HBOR3,R$ 2,61,+0,050 Hoje,1,95%,22/01/2026 - 11:59:53
HBRE3,R$ 3,51,+0,030 Hoje,0,86%,22/01/2026 - 12:00:03
HBSA3,R$ 4,16,+0,070 Hoje,1,71%,22/01/2026 - 12:00:12
